Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
EXP,Eagle Materials Inc,78.16,$3.77B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/exp
HW,Headwaters Incorporated,17.29,$1.28B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/hw
JHX,James Hardie Industries plc.,15.55,$6.93B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/jhx
USG,USG Corporation,26.13,$3.81B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/usg
BAM,Brookfield Asset Management Inc,35.57,$35.12B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/bam
PDM,"Piedmont Office Realty Trust, Inc.",20.97,$3.05B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/pdm
SRC,"Spirit Realty Capital, Inc.",12.52,$6.01B,2013,Consumer Services,Building operators,http://www.nasdaq.com/symbol/src
AYI,Acuity Brands Inc,248.02,$10.88B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
AZZ,AZZ Inc.,54.6,$1.42B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/azz
BW,Babcock,15.49,$774.24M,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/bw
GFF,Griffon Corporation,16.53,$761.23M,n/a,Capital Goods,Building Products,http://www.nasdaq.com/symbol/gff
TCPI,TCP International Holdings Ltd.,1.3999,$39.77M,2014,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/tcpi
VSLR,"Vivint Solar, Inc.",3.21,$345.76M,2014,Capital Goods,Building Products,http://www.nasdaq.com/symbol/vslr
ACN,Accenture plc,118.25,$76.24B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
BABA,Alibaba Group Holding Limited,101.85,$254.63B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
ADS,Alliance Data Systems Corporation,209.77,$12.28B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
BR,"Broadridge Financial Solutions, Inc.",65.74,$7.78B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br
CBZ,"CBIZ, Inc.",11.27,$602.32M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cbz
CO,China Cord Blood Corporation,4.96,$362.1M,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/co
COTV,"Cotiviti Holdings, Inc.",33.65,$3.03B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cotv
DHX,"DHI Group, Inc.",7.85,$393.19M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/dhx
ENV,"Envestnet, Inc",35.58,$1.52B,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/env
