,Store,Name,Store Status,Address,City,State,Zip Code,Report Date,Latitude,Longitude
147,2659,Hy-Vee Food Store / Corydon,I,303 E Jefferson St,Corydon,IA,50060,10/01/2016,40.757154,-93.315748
148,2660,HY-VEE FOOD STORE / SIOUX CENTER,A,1951 S Main Ave,Sioux Center,IA,51250,10/01/2016,43.056471,-96.175695
149,2661,Hy-Vee Food Store / Sheldon,A,1989 Park St,Sheldon,IA,51201,10/01/2016,43.186038,-95.831721
150,2662,Hy-Vee Wine & Spirits / Muscatine,A,"522 Mulberry, Suite A",Muscatine,IA,52761,10/01/2016,41.426658,-91.044413
151,2663,Hy-Vee / Urbandale,A,8701 Douglas,Urbandale,IA,50322,10/01/2016,41.629364,-93.739105
152,2665,Hy-Vee / Waukee,A,1005 E Hickman Rd,Waukee,IA,50263,10/01/2016,41.615059,-93.854477
153,2666,Hy-Vee #2 / Ankeny,A,2510 SW State St,Ankeny,IA,50023,10/01/2016,41.704094,-93.62159
154,2667,Hy-Vee Mainstreet,A,2611 Pierce St,Sioux City,IA,51104,10/01/2016,42.517651,-96.405172
155,2668,Hy-Vee Food Store / Leon,A,1004 W 1st St,Leon,IA,50144,10/01/2016,40.739645,-93.757827
156,2669,Hy-Vee / Corydon,A,"103, E Jackson St",Corydon,IA,50060,10/01/2016,40.75842,-93.318046
157,2670,Hy-Vee Food Store / Coralville,A,2004 8th  St,Coralville,IA,52241,10/01/2016,41.682337,-91.591868
158,2671,Hy-Vee  /  Jefferson,A,"106, W Washington St",Jefferson,IA,50129,10/01/2016,42.017269,-94.374804
159,2672,Hy-Vee / Winterset,A,923 N  1st St,Winterset,IA,50273,10/01/2016,41.342665,-94.013482
160,2806,Osco #881 / Clinton,A,1307 N Second,Clinton,IA,52732,10/01/2016,41.858988,-90.184778
161,2835,CVS Pharmacy #8538 / Cedar Falls,A,2302 West First St,Cedar Falls,IA,50613,10/01/2016,42.540002,-92.473049
162,2836,CVS Pharmacy #8546 / Waterloo,A,205 Franklin St,Waterloo,IA,50703,10/01/2016,42.503373,-92.337304
163,2837,CVS Pharmacy #8544 / Waterloo,A,1825 E San Marnan,Waterloo,IA,50702,10/01/2016,42.466956,-92.321632
164,2838,CVS Pharmacy #8658 / Davenport,A,1655 W Kimberly Rd,Davenport,IA,52806,10/01/2016,41.559969,-90.600088
165,2839,CVS Pharmacy #8659 / Davenport,A,1777 Division St,Davenport,IA,52804,10/01/2016,41.537792,-90.601105
166,2840,CVS Pharmacy #8633 / Bettendorf,A,2002 Spruce Hills Dr,Bettendorf,IA,52722,10/01/2016,41.550062,-90.503701
167,2841,CVS Pharmacy #8532 / Cedar Rapids,A,2711 Mt Vernon Rd,Cedar Rapids,IA,52403,10/01/2016,41.976883,-91.627468
