,title,company,location,reviews,summary,hourly,monthly,yearly,est_sal
363,Data Scientist,Cox Automotive,"Atlanta, GA",42,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...,0,0,0,
364,Customer Insights Analyst II,Synovus,"Atlanta, GA 30305 (Buckhead area)",39,"Performs data mining and customer analysis. Performs regression, risk and driver analyses to answer business questions and works with data scientists to drive...",0,0,0,
365,"Principal Data Scientist, Consumer Analytics",Turner,"Atlanta, GA 30319",246,"The Principal Data Scientist will leverage TURNER's data assets to create analytical solutions for audience targeting, experience personalization and...",0,0,0,
366,Director of Business Analytics,SimplePart.com,"Atlanta, GA",,Use data and science to find opportunity. You will be responsible for a team of analysts and data scientists tasked with creating and managing digital parts...,0,0,0,
367,Statistical Consultant,Equifax,"Atlanta, GA 30309 (Midtown area)",219,"Strong SQL skills in Big Data environment (Hive, Impala etc.). With a strong heritage of innovation and leadership, we leverage our unique data, advanced...",0,0,0,
368,Senior Data Scientist,"eHire, LLC","Atlanta, GA 30326 (Buckhead area)",,Senior Data Scientist w/ AWS*. A strong understanding of data profiling and data cleansing techniques. The Senior Data Scientist is responsible for collecting...,0,0,0,
369,Business Research Analyst - Entry Level,CI Radar,"Norcross, GA",,Who We Are CI Radar is the premier provider of competitive intelligence services for B2B (business to business) companies. We help both startups and Fortune,0,0,1,31000.0
370,Data Scientist,Cox Automotive,"Atlanta, GA",42,Description Cox Automotive is hiring a Data Scientist. The Data Scientist will design and drive the creation of new standards and best practices in the use of...,0,0,0,
371,"Data Scientist, Identity & Linking",Equifax,"Alpharetta, GA 30005",219,Mining techniques to resolve entities and create relationshipsPrototyping tools and techniques to solve complex data problemsDeveloping data driven models to...,0,0,0,
372,DATA ANALYST SUPPLY CHAIN,Home Depot,"Atlanta, GA 30354","20,566","Operates under the supervision and mentorship of more experienced managers and data scientists. 1-3 years work experience in data mining, statistical analysis,...",0,0,0,
373,Associate Application Developer,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
374,"Software Development Engineer, Data Science- Relocation Oppo...","Audible, Inc.",United States,,Do you enjoy working with Data Scientists to write software that can reshape the Audible business? You enjoy building and maintaining diverse software systems...,0,0,0,
375,"Sr Investigator, Research - Atlanta",Kaiser Permanente,"Atlanta, GA","3,798","Data analysis and interpretation skills, substantive knowledge in health-related discipline. Communicate research results to other scientists, clinicians,...",0,0,0,
376,Land Expeditionary Warfare Analyst,Scientific Research Corporation,"Atlanta, GA 30339",53,Experience in using various intelligence data sources to gather information. At the core of our capabilities is a seasoned team of highly skilled engineers and...,0,0,0,
377,Director of Business Analytics,SimplePart,"Atlanta, GA 30303 (Five Points area)",,Use data and science to find opportunity. You will be responsible for a team of analysts and data scientists tasked with creating and managing digital parts...,0,0,0,
378,Data Scientist,ASSURANT,"Atlanta, GA 30339","1,107","In this role, the Data Scientist incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering,...",0,0,0,
379,Associate Research Scientist - 6-month intern position,PreVisor,"Atlanta, GA",,"Knowledgeable in SPSS and data analysis programs. Contribute to the ongoing development, validation, revision, and management of assessments and solutions and...",0,0,0,
380,Research Scientist,Georgia Tech Research Institute,"Atlanta, GA 30318 (Rockdale area)",254,"GTRI is a group of world-class engineers and scientists, solving challenging problems for our customers through innovation, cutting edge applied research, and a...",0,0,0,
381,Senior Public Health Scientists - Senior Project Managers,ICF,"Atlanta, GA",233,"Design and manage research and evaluation projects, including handling protocol development, instrument development, all aspects of data collection, data...",0,0,0,
382,Quantitative Analyst (5051),"Intercontinental Exchange, Inc.","Atlanta, GA 30328",,"Investigate and manage large data sets. The Quantitative Analyst will join a growing financial engineering team that researches, implements, prototypes, and...",0,0,0,
383,"Data Scientist, Natural Language Processing",KPMG,"Atlanta, GA 30338","1,766","KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics team in our Atlanta, GA office....",0,0,0,
384,Lead Quantitative Analyst,SearchBankingJobs,"Atlanta, GA",,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",0,0,1,177500.0
385,Technical & Application Management Specialist - Global Produ...,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
386,Certifying Scientist,Lighthouse Recruiting,"Smyrna, GA 30082",,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....,0,0,0,
387,"Sr. Analyst, Usability Research (Digital Next Generation)",Home Depot,"Atlanta, GA","20,566","Analyze study data, create and present reports to appropriate stakeholders. POSITION PURPOSE - The Usability Research Sr Analyst conducts usability testing,...",0,0,0,
388,Principal Research Scientist- Relocation Opportunity,Amazon Corporate LLC,United States,"9,593",Experience with very large-scale data and the ability to manipulate data by writing scripts (e.g. You play a significant role in hiring great scientists and...,0,0,0,
389,Senior Data Scientist,Cox Automotive,"Atlanta, GA",42,"Cox Automotive is hiring a Senior Data, Scientist. The Senior Data Scientist, Data Solutions, operates in a lead role, gathering and analyzing data in order to...",0,0,0,
390,DATA ANALYST SUPPLY CHAIN,Home Depot,"Atlanta, GA 30354 (Lakewood Heights-Southeastern area)","20,566","Operates under the supervision and mentorship of more experienced managers and data scientists. 1-3 years work experience in data mining, statistical analysis,...",0,0,0,
391,Optimization Research Analyst,RaceTrac,"Atlanta, GA",693,Investigates operations processes by interviewing customers and collecting data in order to determine key decisions which need to be made and quantify a...,0,0,0,
392,"Technical Curriculum Developer, Google Cloud Platform",Google,"Atlanta, GA","1,216","As a Technical Curriculum Developer, you will work closely with technical subject matter experts (SMEs) to design, develop and maintain technical learning...",0,0,0,
393,Digital Optimization Lead (Deisgn + Analytics),The Creative Group,"Atlanta, GA 30326 (Buckhead area)","4,148",-Able to lead a growing team of other designers and data scientists in a fast-paced environment. -At least 3 years of experience working with data and analytics...,0,0,0,
394,Head of Commercial Data and Analytics,UCB,"Atlanta, GA",54,"Data, data infrastructure and integration Improving UCBs forecasting processes. Help design, then lead or manage advanced analytics projects done by advanced...",0,0,0,
395,Data Science Consultant,Capgemini,"Atlanta, GA","1,997","Our Data Scientists come from all sorts of backgrounds, but all share the same characteristics; Good knowledge of various database systems from which data...",0,0,0,
396,Senior Scientist -ICMS,Lonza,"Alpharetta, GA",53,"Generate performance data in support of current commercial. At Lonza, we invest in great people....",0,0,0,
397,Operations Research Analyst,"Aptonet, inc","Atlanta, GA",,Strong knowledge of operations research and data mining techniques and experience in formulating and implementing optimization and data analytics models....,0,0,0,
398,Biostatistics; Statistician Fellowship -- CDC,Oak Ridge Associated Universities,"Atlanta, GA",15,"Some issues are complex data manipulation, variable follow-up time, missing data, time-varying covariates, and correlated data....",0,0,0,
399,Operations Research Analyst,Bluefusioninc,"Atlanta, GA",," Familiarity with commercial optimization solver and data mining packages, e.g. Experience in formulating and implementing optimization and data analytics...",0,0,0,
400,Lead Application Developer - MEAN Stack,ADP,"Alpharetta, GA 30005","1,654","At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",0,0,0,
401,"Principal, Business Intelligence Analyst - Logistics- Reloca...",Amazon Logistics,United States,"9,593","Data integrity, test design, analysis, validation, and documentation. Ability to source and combine disparate data sets to answer business questions....",0,0,0,
